"~id","~labels","name","ID","weight","Coordinate","link"
"58","DAT","field investigation data","DAT59",,,
"59","DAT","intensive field survey","DAT60",,,
"60","DAT","satellite imageries","DAT61",,,
"61","DAT","reports","DAT62",,,
"62","DAT","topographic database","DAT63",,,
"63","DAT","geological database","DAT64",,,
"64","DAT","Landsat satellite images","DAT65",,,
"65","DAT","geospatial and satellite data","DAT66",,,
"66","DAT","geospatial data","DAT67",,,
"67","DAT","latest satellite data","DAT68",,,
"68","DAT","historical reports","DAT69",,,
"69","DAT","interpretation of aerial photograph","DAT70",,,
"70","DAT","field survey reports","DAT71",,,
"71","DAT","rainfall data","DAT72",,,
"72","DAT","aerial-photo interpretation","DAT73",,,
"73","DAT","DInSAR","DAT74",,,
"74","DAT","PS-InSAR","DAT75",,,
"75","DAT","satellite image interpretation","DAT76",,,
"76","DAT","extensive field data","DAT77",,,
"77","DAT","resistivity and water content data","DAT78",,,
"78","DAT","maps of geology","DAT79",,,
"79","DAT","remote sensing data","DAT80",,,
"80","DAT","strong motion data","DAT81",,,
"81","DAT","past landslide inventory","DAT82",,,
"82","DAT","higher resolution satellite images","DAT83",,,
"83","DAT","rainfall and landslide data","DAT84",,,
"84","DAT","geographic information system (GIS)","DAT85",,,
"85","DAT","IRS-1C satellite LISS III data","DAT86",,,
"86","DAT","field investigations","DAT87",,,
"87","DAT","Topographical, spatial, and field data","DAT88",,,
"88","DAT","landslides points","DAT89",,,
"89","DAT","GeoEye-1","DAT90",,,
"90","DAT","Google Earth imagery","DAT91",,,
"91","DAT","soil database","DAT92",,,
"92","DAT","forest map","DAT93",,,
"93","DAT","Landsat TM satellite imagery","DAT94",,,
"94","DAT","lineament data","DAT95",,,
"95","DAT","IRS satellite imagery","DAT96",,,
"96","DAT","GIS and remote sensing data","DAT97",,,
"97","DAT","landslide location data","DAT98",,,
"98","DAT","Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) images","DAT99",,,
"99","DAT","ASTER images","DAT100",,,
"100","DAT","DEM topographic database","DAT101",,,
"101","DAT","forest database","DAT102",,,
"102","DAT","Indian Remote Sensing (IRS) satellite images","DAT103",,,
"103","DAT","geo-climatic conditions","DAT104",,,
"104","DAT","Landslide Disaster Management Bhuvan dataset","DAT105",,,
"105","DAT","Google map","DAT106",,,
"106","DAT","landslide inventory databases","DAT107",,,
"107","DAT","gridded observational precipitation dataset","DAT108",,,
"108","DAT","TanDEM-X DEM (12m resolution and resampled to 30m)","DAT109",,,
"109","DAT","SRTM DEM (30m)","DAT110",,,
"110","DAT","DEM (25m)","DAT111",,,
"111","DAT","ASTER DEM (30m)","DAT112",,,
"112","DAT","satellite-derived displacement monitoring data","DAT113",,,
"113","DAT","building damage surveys","DAT114",,,
"114","DAT","topographic","DAT115",,,
"115","DAT","thematic","DAT116",,,
"116","DAT","monitoring","DAT117",,,
"117","DAT","physical and mechanical parameters of soils","DAT118",,,
"118","DAT","air-photo interpretation","DAT119",,,
"119","DAT","landslide inventory points","DAT120",,,
"120","DAT","AMSR-E","DAT121",,,
"121","DAT","TRMM satellite data","DAT122",,,
"122","DAT","satellite data","DAT123",,,
"123","DAT","Topographical and geological data","DAT124",,,
"124","DAT","geologic database","DAT125",,,
"125","DAT","Landsat images","DAT126",,,
"126","DAT","TM satellite images","DAT127",,,
"127","DAT","inventory reports","DAT128",,,
"128","DAT","Topographical","DAT129",,,
"129","DAT","geological data","DAT130",,,
"130","DAT","SPOT 5 satellite images","DAT131",,,
"131","DAT","history landslide database","DAT132",,,
"132","DAT","Synthetic Aperture Radar Interferometry","DAT133",,,
"133","DAT","LiDAR-based digital elevation model","DAT134",,,
"134","DAT","thematic maps","DAT135",,,
"135","DAT","Google Earth (GE)","DAT136",,,
"136","DAT","soil maps","DAT137",,,
"137","DAT","global geodatabase","DAT138",,,
"138","DAT","fieldwork data","DAT139",,,
"139","DAT","monitoring data","DAT140",,,
"140","DAT","FraneItalia","DAT141",,,
"141","DAT","lithological unit data","DAT142",,,
"142","DAT","landuse data","DAT143",,,
"143","DAT","geological","DAT144",,,
"144","DAT","rainfall","DAT145",,,
"145","DAT","earthquake data","DAT146",,,
"146","DAT","database of soil properties","DAT147",,,
"147","DAT","field data","DAT148",,,
"148","DAT","spatial databases","DAT149",,,
"149","DAT","geological catalogues","DAT150",,,
"150","DAT","landslide catalogs","DAT151",,,
"151","DAT","globally available datasets","DAT152",,,
"152","DAT","regional dataset","DAT153",,,
"153","DAT","DesInventar disaster database","DAT154",,,
"154","DAT","landslides reports","DAT155",,,
"155","DAT","Soil data","DAT156",,,
"156","DAT","high-fidelity digital terrain models","DAT157",,,
"157","DAT","aerial-photo surveys","DAT158",,,
"158","DAT","IKONOS satellite image","DAT159",,,
"159","DAT","archival materials","DAT160",,,
"160","DAT","high-resolution digital elevation model","DAT161",,,
"161","DAT","geotechnical","DAT162",,,
"162","DAT","groundwater","DAT163",,,
"163","DAT","failure depth data","DAT164",,,
"164","DAT","landslide inventory map of CHA","DAT165",,,
"165","DAT","WorldClim data","DAT166",,,
"166","DAT","Landsat-5 data","DAT167",,,
"167","DAT","ALOS PALSAR DEM image (12.5m resolution)","DAT168",,,
"168","DAT","landslide records","DAT169",,,
"169","DAT","environmental factor data","DAT170",,,
"170","DAT","precipitation time series","DAT171",,,
"171","DAT","SRTM DEM","DAT172",,,
"172","DAT","USGS","DAT173",,,
"173","DAT","GSB","DAT174",,,
"174","DAT","multisource data","DAT175",,,
"175","DAT","geographical","DAT176",,,
"176","DAT","hydrological","DAT177",,,
"177","DAT","meteorological","DAT178",,,
"178","DAT","seismic","DAT179",,,
"179","DAT","time-series InSAR","DAT180",,,
"180","DAT","Detailed fieldwork","DAT181",,,
"181","DAT","lithological description","DAT182",,,
"182","DAT","mapping","DAT183",,,
"183","DAT","geological structural measurements","DAT184",,,
"184","DAT","GPS field data","DAT185",,,
"185","DAT","Google earth data","DAT186",,,
"186","DAT","thematic layers","DAT187",,,
"187","DAT","field survey data","DAT188",,,
"188","DAT","Google Maps","DAT189",,,
"189","DAT","historical landslide locations","DAT190",,,
"190","DAT","Google satellite images","DAT191",,,
"191","DAT","aerial","DAT192",,,
"192","DAT","site survey photographs","DAT193",,,
"193","DAT","physiographic","DAT194",,,
"194","DAT","hazard regionalization map","DAT195",,,
"195","DAT","socioeconomic data","DAT196",,,
"196","DAT","remotely sensed images","DAT197",,,
"197","DAT","geological and meteorological data (2010-2018)","DAT198",,,
"198","DAT","global landslide data","DAT199",,,
"199","DAT","global climate model data","DAT200",,,
"200","DAT","precipitation data","DAT201",,,
"201","DAT","21 Global Circulation Models dataset","DAT202",,,
"202","DAT","Historical landslide points","DAT203",,,
"203","DAT","historical records","DAT204",,,
"204","DAT","field observations","DAT205",,,
"205","DAT","remote sensing","DAT206",,,
"206","DAT","geological maps","DAT207",,,
"207","DAT","topographical maps","DAT208",,,
"208","DAT","landslide causative factor databases","DAT209",,,
"209","DAT","maximum daily rainfall","DAT210",,,
"210","DAT","total rainfall","DAT211",,,
"211","DAT","landslide spatial datasets","DAT212",,,
"212","DAT","high-resolution-light detection","DAT213",,,
"213","DAT","LiDAR DEM","DAT214",,,
"214","DAT","historical data","DAT215",,,
"215","DAT","Landslide databases","DAT216",,,
"216","DAT","datasets of road-related","DAT217",,,
"217","DAT","non road-related landslides","DAT218",,,
"218","DAT","active landslides","DAT219",,,
"219","DAT","field study","DAT220",,,
"220","DAT","remote sensing data sources","DAT221",,,
"221","DAT","multi-temporal inventory map","DAT222",,,
"222","DAT","soil measurements","DAT223",,,
"223","DAT","landslide event record","DAT224",,,
"224","DAT","planning data","DAT225",,,
"225","DAT","scientific publications","DAT226",,,
"226","DAT","reports of local authorities","DAT227",,,
"227","DAT","field survey","DAT228",,,
"228","DAT","literatures","DAT229",,,
"229","DAT","field work","DAT230",,,
"230","DAT","Landsat ETM7","DAT231",,,
"231","DAT","multiple real-time data","DAT232",,,
"232","DAT","Multifactor monitoring data","DAT233",,,
"233","DAT","informative maps","DAT234",,,
"234","DAT","seismic zone maps","DAT235",,,
"235","DAT","Digital Globe Quick Bird image","DAT236",,,
"236","DAT","ERDAS IMAGINE","DAT237",,,
"237","DAT","ASTER GDEM image","DAT238",,,
"238","DAT","Landsat TM and 8 OLI satellite image","DAT239",,,
"239","DAT","Cartosat and Resourcesat -1 LISS-IV MX data","DAT240",,,
"240","DAT","field mapping","DAT241",,,
"241","DAT","digital elevation models","DAT242",,,
"242","DAT","historical information","DAT243",,,
"243","DAT","performed field surveys","DAT244",,,
"244","DAT","remote sensing and field data","DAT245",,,
"245","DAT","detailed field investigations","DAT246",,,
"246","DAT","Unmanned Aerial Vehicle (UAV) images","DAT247",,,
"247","DAT","landslide dam sampling","DAT248",,,
"248","DAT","digital surface models (DSM)","DAT249",,,
"249","DAT","160 landslide locations inventory","DAT250",,,
"250","DAT","Geological Survey of Iran","DAT251",,,
"251","DAT","soil moisture products","DAT252",,,
"252","DAT","Multi-Temporal Interferometric Synthetic Aperture Radar (MT-InSAR) data","DAT253",,,
"253","DAT","time-series soil moisture data","DAT254",,,
"254","DAT","MT-InSAR","DAT255",,,
"255","DAT","high-resolution QuickBird images","DAT256",,,
"256","DAT","China Brazil Earth Resources Satellite images","DAT257",,,
"257","DAT","Geological Survey","DAT258",,,
"258","DAT","DEM","DAT259",,,
"259","DAT","inclinometer monitoring data","DAT260",,,
"260","DAT","topographic data","DAT261",,,
"261","DAT","high-precision Planet optical remote sensing images","DAT262",,,
"262","DAT","terrain mapping units (TMU) map","DAT263",,,
"263","DAT","digital elevation model (DEM)-derived","DAT264",,,
"264","DAT","meteorology-derived","DAT265",,,
"265","DAT","Landsat8-derived","DAT266",,,
"266","DAT","geology-derived","DAT267",,,
"267","DAT","landslide disaster locations","DAT268",,,
"268","DAT","historical documents","DAT269",,,
"269","DAT","interpretation of aerial photographs","DAT270",,,
"270","DAT","inventory map with 799 landslides","DAT271",,,
"271","DAT","lidar","DAT272",,,
"272","DAT","aerial photography","DAT273",,,
"273","DAT","satellites","DAT274",,,
"274","DAT","lidar data","DAT275",,,
"275","DAT","digital landslide inventory","DAT276",,,
"276","DAT","multitemporal data for landslide inventories","DAT277",,,
"277","DAT","landslide inventory dataset","DAT278",,,
"278","DAT","Remote sensing interpretations","DAT279",,,
"279","DAT","Field excursions","DAT280",,,
"280","DAT","Google Earth interpretation (Google Earth)","DAT281",,,
"281","DAT","Spatial GIS database","DAT282",,,
"282","DAT","Geological map of Nekemte","DAT283",,,
"283","DAT","Landsat +ETM satellite","DAT284",,,
"284","DAT","remotely piloted aerial vehicle (RPAS)","DAT285",,,
"285","DAT","aerial images","DAT286",,,
"286","DAT","high resolution orthoimages","DAT287",,,
"287","DAT","high-resolution aerial imagery","DAT288",,,
"288","DAT","archival geological maps","DAT289",,,
"289","DAT","Light Detection and Ranging (LiDAR) digital elevation model","DAT290",,,
"290","DAT","1-m-LiDAR DEM","DAT291",,,
"291","DAT","field research","DAT292",,,
"292","DAT","digital photogrammetric elevation models","DAT293",,,
"293","DAT","DEM芒聙聯airborne laser scanning (ALS)","DAT294",,,
"294","DAT","archival digital stereo-pair aerial images","DAT295",,,
"295","DAT","ground deformation map (GDM)","DAT296",,,
"296","DAT","175 past landslides","DAT297",,,
"297","DAT","lithological data set","DAT298",,,
"298","DAT","International Hydrogeological Map of Europe (IHME)","DAT299",,,
"299","DAT","topographical and geological maps","DAT300",,,
"300","DAT","rock-cut slope data","DAT301",,,
"301","DAT","locations of past landslides","DAT302",,,
"302","DAT","existing catalogues","DAT303",,,
"303","DAT","archives on landslides","DAT304",,,
"304","DAT","reports of meteorological events","DAT305",,,
"305","DAT","1624 landslides information","DAT306",,,
"306","DAT","geospatial database","DAT307",,,
"307","DAT","extensive field surveys","DAT308",,,
"308","DAT","1520 historical landslides","DAT309",,,
"309","DAT","literature reviews","DAT310",,,
"310","DAT","1522 investigated landslides","DAT311",,,
"311","DAT","1522 non-landslides","DAT312",,,
"312","DAT","1522 landslides","DAT313",,,
"313","DAT","LIDAR (Light Detection and Ranging)","DAT314",,,
"314","DAT","derived hillshade maps","DAT315",,,
"315","DAT","topographical, lithological and soil maps","DAT316",,,
"316","DAT","climate data","DAT317",,,
"317","DAT","land use data","DAT318",,,
"318","DAT","pan-European data","DAT319",,,
"319","DAT","socioeconomic census data","DAT320",,,
"320","DAT","landslide sample data","DAT321",,,
"321","DAT","remote sensing images","DAT322",,,
"322","DAT","Multipurpose Satellite (KOMPSAT) electroptical camera (EOC) images","DAT323",,,
"323","DAT","topography","DAT324",,,
"324","DAT","forest","DAT325",,,
"325","DAT","land use","DAT326",,,
"326","DAT","LISS-IV (MX) satellite imagery","DAT327",,,
"327","DAT","Google Earth and reported data","DAT328",,,
"328","DAT","BHUVAN landslide inventory","DAT329",,,
"329","DAT","photographic data","DAT330",,,
"330","DAT","landslide locations inventory","DAT331",,,
"331","DAT","archival geological maps digital stereo-pair aerial images","DAT332",,,
"332","FAC","10 - day antecedent rainfall","FAC1","1",,
"333","FAC","3 - day antecedent rainfall condition","FAC2","1",,
"334","FAC","5 year intensity - duration - frequency precipitation curve","FAC3","1",,
"335","FAC","50 - m trail buffer","FAC4","1",,
"336","FAC","absolute height","FAC5","1",,
"337","FAC","abundant rainfall","FAC6","2",,
"338","FAC","accelerate urban expansion","FAC7","1",,
"339","FAC","acclivity","FAC8","1",,
"340","FAC","accumulate rainfall","FAC9","4",,
"341","FAC","active crustal movement","FAC10","1",,
"342","FAC","active fault","FAC11","5",,
"343","FAC","active fault zone","FAC12","1",,
"344","FAC","active faulting","FAC13","2",,
"345","FAC","active tectonic deformation","FAC14","1",,
"346","FAC","active tectonic","FAC15","1",,
"347","FAC","active tectonism","FAC16","1",,
"348","FAC","age","FAC17","1",,
"349","FAC","agricultural activity","FAC18","1",,
"350","FAC","agricultural land","FAC19","2",,
"351","FAC","air temperature","FAC20","1",,
"352","FAC","Al","FAC21","1",,
"353","FAC","altitude","FAC22","96",,
"354","FAC","altitude zone","FAC23","1",,
"355","FAC","altitudinal zone","FAC24","1",,
"356","FAC","alunite","FAC25","1",,
"357","FAC","amount distant to river","FAC26","1",,
"358","FAC","amount distant to road","FAC27","1",,
"359","FAC","amount of rainfall","FAC28","1",,
"360","FAC","amplification factor","FAC29","1",,
"361","FAC","hydrology","FAC30","20",,
"362","FAC","angle","FAC31","1",,
"363","FAC","angle of internal friction","FAC32","1",,
"364","FAC","annual average precipitation","FAC33","1",,
"365","FAC","annual average temperature","FAC34","1",,
"366","FAC","annual groundwater recharge","FAC35","1",,
"367","FAC","annual mean NDVI","FAC36","1",,
"368","FAC","annual mean precipitation","FAC37","1",,
"369","FAC","annual mean rainfall","FAC38","1",,
"370","FAC","annual reservoir regulation","FAC39","1",,
"371","FAC","annual solar radiation","FAC40","1",,
"372","FAC","annual temperature difference","FAC41","1",,
"373","FAC","antecedent effective precipitation","FAC42","1",,
"374","FAC","antecedent moisture","FAC43","1",,
"375","FAC","Antecedent Precipitation Index","FAC44","1",,
"376","FAC","antecedent rainfall","FAC45","2",,
"377","FAC","antecedent soil moisture condition","FAC46","1",,
"378","FAC","anthropic activity","FAC47","1",,
"379","FAC","anthropic interference","FAC48","1",,
"380","FAC","anthropogenic","FAC49","1",,
"381","FAC","anthropogenic climate change","FAC50","1",,
"382","FAC","anthropogenic conditioning factor","FAC51","1",,
"383","FAC","anthropogenic condition","FAC52","1",,
"384","FAC","anthropogenic disturbance","FAC53","1",,
"385","FAC","anthropogenic effect","FAC54","1",,
"386","FAC","anthropogenic element","FAC55","1",,
"387","FAC","anthropogenic factor","FAC56","10",,
"388","FAC","anthropogenic impact","FAC57","3",,
"389","FAC","anthropogenic interference","FAC58","1",,
"390","FAC","API","FAC59","1",,
"391","FAC","aquifer","FAC60","2",,
"392","FAC","arable land","FAC61","1",,
"393","FAC","area","FAC62","1",,
"394","FAC","area close to road","FAC63","1",,
"395","FAC","artificial vibration","FAC64","1",,
"396","FAC","aspect","FAC65","282",,
"397","FAC","aspect and slope of the topography","FAC66","1",,
"398","FAC","aspect class","FAC67","1",,
"399","FAC","aspect map","FAC68","1",,
"400","FAC","aspect to road","FAC69","1",,
"401","FAC","atmospheric precipitation","FAC70","1",,
"402","FAC","Atterberg 's limit","FAC71","1",,
"403","FAC","available water capacity","FAC72","1",,
"404","FAC","average monthly rainfall","FAC73","1",,
"405","FAC","average rain","FAC74","1",,
"406","FAC","average slope angle","FAC75","1",,
"407","FAC","average soil depth","FAC76","1",,
"408","FAC","average temperature","FAC77","1",,
"409","FAC","AWC","FAC78","1",,
"410","FAC","azimuth direction","FAC79","1",,
"411","FAC","band","FAC80","1",,
"412","FAC","band math","FAC81","1",,
"413","FAC","band math factor combination","FAC82","1",,
"414","FAC","bank erosion","FAC83","1",,
"415","FAC","bank erosion variable","FAC84","1",,
"416","FAC","bare rock land","FAC85","1",,
"417","FAC","barren land","FAC86","1",,
"418","FAC","barrenness","FAC87","1",,
"419","FAC","base level","FAC88","1",,
"420","FAC","bed rock - slope relationship","FAC89","1",,
"421","FAC","bedding / slope","FAC90","1",,
"422","FAC","bedding structure","FAC91","2",,
"423","FAC","bedrock","FAC92","1",,
"424","FAC","bedrock geology","FAC93","1",,
"425","FAC","bedrock lithology","FAC94","2",,
"426","FAC","bedrock topography","FAC95","1",,
"427","FAC","blast","FAC96","1",,
"428","FAC","BMFC","FAC97","1",,
"429","FAC","BSTO","FAC98","1",,
"430","FAC","buffer distance linear disaster - cause factor","FAC99","1",,
"431","FAC","buffer map of drainage","FAC100","1",,
"432","FAC","buffer map of thrust","FAC101","1",,
"433","FAC","buffer zone along thrust , fault and lineament","FAC102","1",,
"434","FAC","build","FAC103","2",,
"435","FAC","build construction","FAC104","1",,
"436","FAC","build density","FAC105","2",,
"437","FAC","build distribution","FAC106","1",,
"438","FAC","build distribution density","FAC107","1",,
"439","FAC","build material","FAC108","1",,
"440","FAC","building","FAC109","3",,
"441","FAC","bulk density","FAC110","1",,
"442","FAC","calcite","FAC111","1",,
"443","FAC","cation exchange capacity","FAC112","1",,
"444","FAC","cementation","FAC113","1",,
"445","FAC","change","FAC114","1",,
"446","FAC","change of reservoir water level","FAC115","1",,
"447","FAC","change climate","FAC116","1",,
"448","FAC","change land use pattern","FAC117","1",,
"449","FAC","channel incision","FAC118","1",,
"450","FAC","channel proximity","FAC119","1",,
"451","FAC","characteristic value","FAC120","1",,
"452","FAC","citrus grove","FAC121","1",,
"453","FAC","clay","FAC122","1",,
"454","FAC","clay content","FAC123","1",,
"455","FAC","CLC","FAC124","1",,
"456","FAC","climate","FAC125","19",,
"457","FAC","climate characteristic","FAC126","1",,
"458","FAC","climate condition","FAC127","3",,
"459","FAC","climate datum","FAC128","1",,
"460","FAC","climate variable","FAC129","1",,
"461","FAC","climatic - environmental factor","FAC130","1",,
"462","FAC","climatic characteristic","FAC131","3",,
"463","FAC","climatic condition","FAC132","7",,
"464","FAC","climatic factor","FAC133","1",,
"465","FAC","climatic feature","FAC134","1",,
"466","FAC","climatic parameter","FAC135","1",,
"467","FAC","climatic variability","FAC136","1",,
"468","FAC","climatological","FAC137","1",,
"469","FAC","climatological characteristic","FAC138","1",,
"470","FAC","climatological condition","FAC139","1",,
"471","FAC","climatological rainfall","FAC140","1",,
"472","FAC","cloudburst","FAC141","1",,
"473","FAC","cluster effect","FAC142","1",,
"474","FAC","coal mining","FAC143","3",,
"475","FAC","code bedrock lithology","FAC144","1",,
"476","FAC","colluvial material","FAC145","1",,
"477","FAC","colluvial thickness","FAC146","1",,
"478","FAC","colluvium map","FAC147","1",,
"479","FAC","combination of cohesion","FAC148","1",,
"480","FAC","compaction of soil","FAC149","1",,
"481","FAC","compactness","FAC150","1",,
"482","FAC","complicated geological condition","FAC151","1",,
"483","FAC","compound topographic index","FAC152","1",,
"484","FAC","compound topographic wetness index","FAC153","1",,
"485","FAC","condition","FAC154","1",,
"486","FAC","construction land","FAC155","1",,
"487","FAC","construction of the slope engineering","FAC156","1",,
"488","FAC","continuous rainfall","FAC157","2",,
"489","FAC","contour","FAC158","2",,
"490","FAC","contribute area","FAC159","2",,
"491","FAC","convergence index","FAC160","5",,
"492","FAC","convexity","FAC161","1",,
"493","FAC","CORINE land cover","FAC162","1",,
"494","FAC","correct Arias intensity","FAC163","1",,
"495","FAC","cover","FAC164","1",,
"496","FAC","cover type","FAC165","1",,
"497","FAC","coverage factor","FAC166","1",,
"498","FAC","crack water","FAC167","1",,
"499","FAC","critical displacement","FAC168","1",,
"500","FAC","critical rainfall","FAC169","1",,
"501","FAC","crop biomass","FAC170","1",,
"502","FAC","cropland","FAC171","1",,
"503","FAC","cross section curvature","FAC172","1",,
"504","FAC","cross - sectional curvature","FAC173","1",,
"505","FAC","crustal","FAC174","1",,
"506","FAC","CTI","FAC175","1",,
"507","FAC","cumulative antecedent rainfall","FAC176","1",,
"508","FAC","cumulative catchment area","FAC177","1",,
"509","FAC","cumulative event rainfall - rainfall duration","FAC178","1",,
"510","FAC","cumulative precipitation","FAC179","1",,
"511","FAC","cumulative rainfall","FAC180","3",,
"512","FAC","cumulative rainfall height","FAC181","1",,
"513","FAC","curvature","FAC182","128",,
"514","FAC","curvature map","FAC183","1",,
"515","FAC","curvature of the earth","FAC184","1",,
"516","FAC","curvature of topography","FAC185","3",,
"517","FAC","curvature plan","FAC186","1",,
"518","FAC","curvature plane","FAC187","1",,
"519","FAC","curvature profile","FAC188","1",,
"520","FAC","curve","FAC189","1",,
"521","FAC","curve number derive index","FAC190","1",,
"522","FAC","cut depth","FAC191","4",,
"523","FAC","daily precipitation","FAC192","2",,
"524","FAC","daily rainfall","FAC193","3",,
"525","FAC","dam height","FAC194","1",,
"526","FAC","damage","FAC195","1",,
"527","FAC","DCI","FAC196","1",,
"528","FAC","DD","FAC197","1",,
"529","FAC","decline vegetation cover","FAC198","1",,
"530","FAC","deep - root permanent vegetation","FAC199","1",,
"531","FAC","deep - seat gravitational slope deformation","FAC200","1",,
"532","FAC","deep - seat seismically active fault","FAC201","1",,
"533","FAC","deep division","FAC202","1",,
"534","FAC","deforestation","FAC203","3",,
"535","FAC","deformation","FAC204","1",,
"536","FAC","deformation rate","FAC205","1",,
"537","FAC","degradation of material","FAC206","1",,
"538","FAC","degradation of vegetation","FAC207","1",,
"539","FAC","degree","FAC208","1",,
"540","FAC","delay rainfall peak","FAC209","1",,
"541","FAC","DEM","FAC210","7",,
"542","FAC","DEM derive slope","FAC211","1",,
"543","FAC","Dempster - Shafer","FAC212","1",,
"544","FAC","DEMs","FAC213","1",,
"545","FAC","dense crack index","FAC214","1",,
"546","FAC","dense development","FAC215","1",,
"547","FAC","densely populate settlement","FAC216","1",,
"548","FAC","density","FAC217","2",,
"549","FAC","density of discontinuity","FAC218","1",,
"550","FAC","density of fault","FAC219","1",,
"551","FAC","density of forest","FAC220","1",,
"552","FAC","density of geological boundary","FAC221","2",,
"553","FAC","density of lineament","FAC222","1",,
"554","FAC","density of quarry","FAC223","1",,
"555","FAC","density of road","FAC224","1",,
"556","FAC","density of settlement","FAC225","1",,
"557","FAC","density of stream","FAC226","1",,
"558","FAC","density of the landslide point","FAC227","1",,
"559","FAC","denudation","FAC228","1",,
"560","FAC","depth of the soil","FAC229","1",,
"561","FAC","desert","FAC230","1",,
"562","FAC","destroy of vegetation","FAC231","1",,
"563","FAC","destructive seismic activity","FAC232","1",,
"564","FAC","development pattern of stream and gully","FAC233","1",,
"565","FAC","developmental activity","FAC234","1",,
"566","FAC","DF","FAC235","1",,
"567","FAC","diagonal length","FAC236","1",,
"568","FAC","difference vegetation index","FAC237","1",,
"569","FAC","different geological - geomorphological condition","FAC238","1",,
"570","FAC","Differential Vegetation Index","FAC239","1",,
"571","FAC","digital altitude","FAC240","1",,
"572","FAC","digital elevation model","FAC241","7",,
"573","FAC","Digital Terrain Model","FAC242","1",,
"574","FAC","dip - topography relation","FAC243","1",,
"575","FAC","dip direction","FAC244","1",,
"576","FAC","dip direction of slope","FAC245","1",,
"577","FAC","dip slope ratio","FAC246","1",,
"578","FAC","discontinuity development","FAC247","1",,
"579","FAC","dissection","FAC248","1",,
"580","FAC","dissection index","FAC249","1",,
"581","FAC","distance - relate factor","FAC250","1",,
"582","FAC","distance - to - fault","FAC251","2",,
"583","FAC","distance along the fault","FAC252","1",,
"584","FAC","distance factor","FAC253","1",,
"585","FAC","distance from","FAC254","1",,
"586","FAC","distance from a tectonic fracture","FAC255","1",,
"587","FAC","distance from active fault","FAC256","3",,
"588","FAC","distance from all fault","FAC257","1",,
"589","FAC","distance from build - up area","FAC258","1",,
"590","FAC","distance from city","FAC259","1",,
"591","FAC","distance from co - seismic fault","FAC260","1",,
"592","FAC","distance from drainage line","FAC261","1",,
"593","FAC","distance from drainage network","FAC262","2",,
"594","FAC","distance from drainage system , fault and road","FAC263","1",,
